model,file,codec,run,text,latency_ms,ram_peak_mb,ram_avg_mb,cpu_avg_pct,cpu_peak_pct,vram_peak_mb,vram_avg_mb,gpu_util_avg_pct,gpu_util_peak_pct,gpu_power_avg_w,gpu_temp_max_c,model_load_ms,device,dtype
google/gemma-3n-E2B-it,3a-quiet.wav,gsm,2,"Откройте дашборд электросети, графика и покажите пятый тридцати.",15937.0,12151.29,12116.33,593.04,602.8,504.0,504.0,0.0,0.0,10.75,50.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3a-quiet.wav,gsm,3,"Откройте дашборд электросети, графика и покажите пятый тридцати.",14969.0,12160.94,12120.86,600.2,603.3,504.0,504.0,0.0,0.0,10.39,48.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3b-noisy.wav,gsm,1,"Открой дашборд эпицентров графа на за последний час. Посмотри, в селе есть ли какие-то пятнадцать процентов? Если есть, открой логи под alert, staging cluster и примени trace ошибки.",31579.0,12228.77,12198.12,580.41,614.5,504.0,504.0,0.0,0.0,10.75,47.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3b-noisy.wav,gsm,2,"Открой дашборд эпицентров графа на за последний час. Посмотри, в селе есть ли какие-то пятнадцать процентов? Если есть, открой логи под alert, staging cluster и примени trace ошибки.",32859.0,12250.17,12202.2,590.51,626.5,504.0,504.0,0.0,0.0,10.99,48.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3b-noisy.wav,gsm,3,"Открой дашборд эпицентров графа на за последний час. Посмотри, в селе есть ли какие-то пятнадцать процентов? Если есть, открой логи под alert, staging cluster и примени trace ошибки.",32109.0,12249.35,12211.85,568.41,603.3,504.0,504.0,0.0,0.0,11.03,51.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3b-quiet.wav,gsm,1,"Открой дашборд. Эпидемический рафана за последние часы. Посмотри, есть ли резкие колебания. Есть, есть. Открой логи под аутсервис, стриджинг, кластеры и пришли мне trace ошибки.",37891.0,12260.05,12150.29,587.24,702.2,504.0,504.0,0.0,0.0,11.5,53.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3b-quiet.wav,gsm,2,"Открой дашборд. Эпидемический рафана за последние часы. Посмотри, есть ли резкие колебания. Есть, есть. Открой логи под аутсервис, стриджинг, кластеры и пришли мне trace ошибки.",37906.0,12218.34,12133.08,575.71,632.9,504.0,504.0,0.0,0.0,11.59,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3b-quiet.wav,gsm,3,"Открой дашборд. Эпидемический рафана за последние часы. Посмотри, есть ли резкие колебания. Есть, есть. Открой логи под аутсервис, стриджинг, кластеры и пришли мне trace ошибки.",34890.0,12170.79,12095.08,579.83,606.1,504.0,504.0,0.0,0.0,11.61,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4a-noisy.wav,gsm,1,Навії whisperkit доверие 0.8.3.,15000.0,12137.52,12027.82,536.59,606.1,504.0,504.0,0.0,0.0,11.56,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4a-noisy.wav,gsm,2,Навії whisperkit доверие 0.8.3.,12891.0,12135.8,12093.81,568.33,603.3,504.0,504.0,0.09,2.0,12.02,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4a-noisy.wav,gsm,3,Навії whisperkit доверие 0.8.3.,11781.0,12136.43,12097.79,600.82,605.6,504.0,504.0,0.0,0.0,11.25,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4a-quiet.wav,gsm,1,"Опять же, уровень критической давятся ноль точка восемь точка три.",13953.0,12134.11,12086.91,596.48,605.5,504.0,504.0,0.0,0.0,11.2,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4a-quiet.wav,gsm,2,"Опять же, уровень критической давятся ноль точка восемь точка три.",14219.0,12137.64,12099.69,586.98,603.3,504.0,504.0,0.0,0.0,11.13,51.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4a-quiet.wav,gsm,3,"Опять же, уровень критической давятся ноль точка восемь точка три.",13156.0,12134.19,12088.06,600.85,606.1,504.0,504.0,0.0,0.0,10.73,50.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4b-noisy.wav,gsm,1,"Версия 0.8.3. Перезапустите билд через CI/CD и если есть зеленые, закончите сообщением об обновлении версии 0.8.3.",25484.0,12284.05,12227.44,589.86,605.5,504.0,504.0,0.0,0.0,10.57,49.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4b-noisy.wav,gsm,2,"Версия 0.8.3. Перезапустите билд через CI/CD и если есть зеленые, закончите сообщением об обновлении версии 0.8.3.",23312.0,12286.93,12231.33,600.6,603.3,504.0,504.0,0.0,0.0,10.52,47.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4b-noisy.wav,gsm,3,"Версия 0.8.3. Перезапустите билд через CI/CD и если есть зеленые, закончите сообщением об обновлении версии 0.8.3.",24125.0,12279.18,12231.76,587.69,606.1,504.0,504.0,0.0,0.0,10.39,47.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4b-quiet.wav,gsm,1,"Так, сейчас Swift. Обновление версии 0.8.3. При запуске build через Swift Build, если зелёный, закомментировать сообщение об обновлении Swift до Xcode 4.3.",27281.0,12310.04,12255.53,585.72,608.2,504.0,504.0,0.0,0.0,10.61,50.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4b-quiet.wav,gsm,2,"Так, сейчас Swift. Обновление версии 0.8.3. При запуске build через Swift Build, если зелёный, закомментировать сообщение об обновлении Swift до Xcode 4.3.",25922.0,12309.47,12249.85,600.72,603.8,504.0,504.0,0.13,4.0,11.33,52.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,4b-quiet.wav,gsm,3,"Так, сейчас Swift. Обновление версии 0.8.3. При запуске build через Swift Build, если зелёный, закомментировать сообщение об обновлении Swift до Xcode 4.3.",25687.0,12306.62,12245.57,600.44,605.6,504.0,504.0,0.04,1.0,11.04,53.0,49391.0,cpu,float32
