model,file,codec,run,text,latency_ms,ram_peak_mb,ram_avg_mb,cpu_avg_pct,cpu_peak_pct,vram_peak_mb,vram_avg_mb,gpu_util_avg_pct,gpu_util_peak_pct,gpu_power_avg_w,gpu_temp_max_c,model_load_ms,device,dtype
google/gemma-3n-E2B-it,1b-quiet.wav,clean,2,"Сегодня вторник. К вечеру обещаю дождь, поэтому нужно успеть в магазинку купить молоко, хлеб, помидоры, наверное, заправку, забрать свои тренировки, в классы и не забыть позвонить маме на обратный звонок.",47234.0,12143.77,12053.91,496.91,605.9,504.0,504.0,0.0,0.0,11.53,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1b-quiet.wav,clean,3,"Сегодня вторник. К вечеру обещаю дождь, поэтому нужно успеть в магазинку купить молоко, хлеб, помидоры, наверное, заправку, забрать свои тренировки, в классы и не забыть позвонить маме на обратный звонок.",36016.0,12214.68,12129.12,584.61,603.8,504.0,504.0,0.0,0.0,11.58,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2a-noisy.wav,clean,1,Запущи ветку feature_out в GitHub и открой pull request на review.,16328.0,12142.59,12072.43,599.53,603.3,504.0,504.0,0.0,0.0,11.32,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2a-noisy.wav,clean,2,Запущи ветку feature_out в GitHub и открой pull request на review.,14531.0,12203.32,12151.59,599.99,603.3,504.0,504.0,0.0,0.0,11.18,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2a-noisy.wav,clean,3,Запущи ветку feature_out в GitHub и открой pull request на review.,14735.0,12209.12,12156.37,595.91,603.8,504.0,504.0,0.0,0.0,10.75,52.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2a-quiet.wav,clean,1,Запустив ветку feature_aus в GitHub и открою pull request на review.,14391.0,12197.37,12153.4,579.37,605.0,504.0,504.0,0.0,0.0,10.71,50.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2a-quiet.wav,clean,2,Запустив ветку feature_aus в GitHub и открою pull request на review.,14000.0,12179.43,12119.75,600.11,603.8,504.0,504.0,0.0,0.0,10.43,49.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2a-quiet.wav,clean,3,Запустив ветку feature_aus в GitHub и открою pull request на review.,15203.0,12179.48,12136.06,575.69,602.7,504.0,504.0,0.0,0.0,10.88,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2b-noisy.wav,clean,1,"Запусти текущую ветку feature_auth на GitHub, открой pull request на main, добавь Сергея в reviewers и проверь, чтобы прошли все CI-теки перед мерджем. Lint, unit tests и typecheck.",31375.0,12200.94,12038.82,572.27,605.5,504.0,504.0,0.0,0.0,10.69,47.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2b-noisy.wav,clean,2,"Запусти текущую ветку feature_auth на GitHub, открой pull request на main, добавь Сергея в reviewers и проверь, чтобы прошли все CI-теки перед мерджем. Lint, unit tests и typecheck.",33766.0,12120.38,12043.9,514.45,603.3,504.0,504.0,0.02,1.0,10.88,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2b-noisy.wav,clean,3,"Запусти текущую ветку feature_auth на GitHub, открой pull request на main, добавь Сергея в reviewers и проверь, чтобы прошли все CI-теки перед мерджем. Lint, unit tests и typecheck.",30828.0,12260.89,12176.05,578.04,603.8,504.0,504.0,0.07,1.0,10.89,51.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2b-quiet.wav,clean,1,"Запусти GPU-вертолет в GitHub. Открою pull request на main, добавлю сервиевые UI-ры и проверю, что прошли все CI-теки: перед мерджем lint, unit tests и type check.",33031.0,12274.06,12126.19,557.34,604.5,504.0,504.0,0.05,1.0,11.16,52.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2b-quiet.wav,clean,2,"Запусти GPU-вертолет в GitHub. Открою pull request на main, добавлю сервиевые UI-ры и проверю, что прошли все CI-теки: перед мерджем lint, unit tests и type check.",33110.0,12192.07,12131.46,562.17,603.3,504.0,504.0,0.12,1.0,11.46,53.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,2b-quiet.wav,clean,3,"Запусти GPU-вертолет в GitHub. Открою pull request на main, добавлю сервиевые UI-ры и проверю, что прошли все CI-теки: перед мерджем lint, unit tests и type check.",32765.0,12186.06,12137.76,572.43,607.6,504.0,504.0,0.02,1.0,11.76,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3a-noisy.wav,clean,1,Открой dashboard Epelenty в Grafana и покажи пятый процентиль.,17343.0,12205.75,12174.5,551.94,603.8,504.0,504.0,0.0,0.0,11.78,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3a-noisy.wav,clean,2,Открой dashboard Epelenty в Grafana и покажи пятый процентиль.,17219.0,12198.05,12109.5,565.47,603.3,504.0,504.0,0.0,0.0,11.67,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3a-noisy.wav,clean,3,Открой dashboard Epelenty в Grafana и покажи пятый процентиль.,14328.0,12162.1,12091.58,601.05,615.9,504.0,504.0,0.0,0.0,11.63,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3a-quiet.wav,clean,1,"Откройте дашборд, эпилется, Grafana и покажите пятый процентиль.",16453.0,12130.34,12063.29,593.68,603.3,504.0,504.0,0.0,0.0,11.42,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3a-quiet.wav,clean,2,"Откройте дашборд, эпилется, Grafana и покажите пятый процентиль.",17078.0,12104.61,12075.85,598.69,603.3,504.0,504.0,0.0,0.0,10.87,51.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3a-quiet.wav,clean,3,"Откройте дашборд, эпилется, Grafana и покажите пятый процентиль.",16500.0,12166.92,12117.81,600.33,617.3,504.0,504.0,0.0,0.0,10.61,49.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3b-noisy.wav,clean,1,"Открой дашборд App Latency в Grafana за последний час. Посмотри все ли всплески по 95-му процентилю. Если есть, открой логи под AWS Service Stageing Cluster и пришли мне трасс ошибки.",32140.0,12284.32,12185.36,584.06,603.3,504.0,504.0,0.0,0.0,10.62,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3b-noisy.wav,clean,2,"Открой дашборд App Latency в Grafana за последний час. Посмотри все ли всплески по 95-му процентилю. Если есть, открой логи под AWS Service Stageing Cluster и пришли мне трасс ошибки.",34312.0,12287.0,12128.13,579.78,621.7,504.0,504.0,0.0,0.0,10.83,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3b-noisy.wav,clean,3,"Открой дашборд App Latency в Grafana за последний час. Посмотри все ли всплески по 95-му процентилю. Если есть, открой логи под AWS Service Stageing Cluster и пришли мне трасс ошибки.",34953.0,12153.37,12022.74,561.66,603.3,504.0,504.0,0.0,0.0,11.24,51.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3b-quiet.wav,clean,1,"Открой дашборд API latency Grafana за последний час. Посмотри, есть ли всплески по 90-му процентилю. Если есть, открой логи под сервиса staging cluster и пришли мне trace ошибки.",34141.0,12139.36,12076.62,568.06,603.3,504.0,504.0,0.0,0.0,11.23,53.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3b-quiet.wav,clean,2,"Открой дашборд API latency Grafana за последний час. Посмотри, есть ли всплески по 90-му процентилю. Если есть, открой логи под сервиса staging cluster и пришли мне trace ошибки.",41485.0,12148.0,11985.56,484.46,678.1,504.0,504.0,0.0,0.0,11.96,53.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,3b-quiet.wav,clean,3,"Открой дашборд API latency Grafana за последний час. Посмотри, есть ли всплески по 90-му процентилю. Если есть, открой логи под сервиса staging cluster и пришли мне trace ошибки.",34437.0,12210.86,12084.11,546.44,603.8,504.0,504.0,0.0,0.0,12.01,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4a-noisy.wav,clean,1,Обнови Wi-Fi Kit до версии 0.8.3,15047.0,12083.55,12009.1,573.46,603.3,504.0,504.0,0.0,0.0,11.4,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4a-noisy.wav,clean,2,Обнови Wi-Fi Kit до версии 0.8.3,16750.0,12095.64,12045.75,586.67,628.4,504.0,504.0,0.0,0.0,11.67,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4a-noisy.wav,clean,3,Обнови Wi-Fi Kit до версии 0.8.3,13297.0,12068.2,12022.92,583.43,603.3,504.0,504.0,0.0,0.0,11.69,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4a-quiet.wav,clean,1,Обновил whisperkit до версии 0.8.3.,13375.0,12132.93,12075.55,597.79,605.0,504.0,504.0,0.04,1.0,11.83,55.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4a-quiet.wav,clean,2,Обновил whisperkit до версии 0.8.3.,12797.0,12145.12,12079.63,599.03,603.8,504.0,504.0,0.0,0.0,10.99,52.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4a-quiet.wav,clean,3,Обновил whisperkit до версии 0.8.3.,12953.0,12161.48,12089.22,573.63,603.3,504.0,504.0,0.0,0.0,11.08,51.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4b-noisy.wav,clean,1,Package Swift обновил WhisperKit до версии 0.8.3. Перезапустите build через Swift Build и если зелёный закажется сообщением об update WhisperKit to 0.8.3.,29234.0,12265.87,12153.29,577.52,606.1,504.0,504.0,0.0,0.0,10.58,49.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4b-noisy.wav,clean,2,Package Swift обновил WhisperKit до версии 0.8.3. Перезапустите build через Swift Build и если зелёный закажется сообщением об update WhisperKit to 0.8.3.,26172.0,12270.25,12195.76,599.85,603.3,504.0,504.0,0.02,1.0,10.4,47.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4b-noisy.wav,clean,3,Package Swift обновил WhisperKit до версии 0.8.3. Перезапустите build через Swift Build и если зелёный закажется сообщением об update WhisperKit to 0.8.3.,25907.0,12189.28,12152.18,600.05,603.3,504.0,504.0,0.07,1.0,10.38,47.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4b-quiet.wav,clean,1,"Package script обновляет sporkit до версии 0.8.3. При запуске build через स्विफ्ट build, если зелёный, закомментится сообщением обновить sporkit до 0.8.3.",30750.0,12237.46,12189.54,581.07,605.6,504.0,504.0,0.02,1.0,11.03,50.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4b-quiet.wav,clean,2,"Package script обновляет sporkit до версии 0.8.3. При запуске build через स्विफ्ट build, если зелёный, закомментится сообщением обновить sporkit до 0.8.3.",29484.0,12295.98,12199.15,594.35,603.8,504.0,504.0,0.04,1.0,11.25,52.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,4b-quiet.wav,clean,3,"Package script обновляет sporkit до версии 0.8.3. При запуске build через स्विफ्ट build, если зелёный, закомментится сообщением обновить sporkit до 0.8.3.",30766.0,12247.83,12183.74,574.08,603.3,504.0,504.0,0.05,1.0,11.27,53.0,56141.0,cpu,float32
